,outlier_value,outlier_title,origin_context,centroid,covariance,fit_context,new_centroid,new_covariance,score
1898,[ 59.623 -26.144],Christmas Time Is Here,George Winston,[115.78395    -18.19216667],"[[1278.14766831   40.87739106]
 [  40.87739106   13.63570701]]",Branford Marsalis;Orpheus Chamber Orchestra,[ 72.8252 -25.9782],"[[585.16976276  43.15851104]
 [ 43.15851104  12.56338676]]",0.6061712682311502
1899,[192.815 -11.221],Pedal Your Blues Away,R. Crumb And His Cheap Suit Serenaders,[129.663      -11.73684615],"[[741.56156977   3.74123946]
 [  3.74123946   1.85715851]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",0.6514286929697772
1900,[90.98  -3.872],Footloose,The Bacon Brothers,[120.19966667  -6.62966667],"[[718.76748089  -7.79010597]
 [ -7.79010597   1.35639206]]",Sertab Erener,[95.2705 -5.242 ],"[[167.56208858  -5.111394  ]
 [ -5.111394     4.052942  ]]",0.7098298173442947
1901,[ 68.126 -15.097],Faces In The Water,Kate Campbell,[127.07905556 -11.07125   ],"[[550.36434016  12.81632315]
 [ 12.81632315   5.51823913]]",Heiner Goebbels_ Alfred 23 Harth,[ 64.15275 -18.565  ],"[[111.72850919  -1.68805375]
 [ -1.68805375  28.8282785 ]]",0.7572588945632405
1902,[165.431  -6.118],Touch Your Woman,Kate Campbell,[127.07905556 -11.07125   ],"[[550.36434016  12.81632315]
 [ 12.81632315   5.51823913]]",Pulley,[160.94651724  -6.37391379],"[[1300.01767728   -6.0921526 ]
 [  -6.0921526     5.88122498]]",0.16903497748833055
1903,[86.72 -9.02],Malti,Dan Zanes Feat. Barbara Brousal,[112.041 -10.946],"[[326.08502167 -26.40968733]
 [-26.40968733   2.59957167]]",Rolo Tomassi,[94.17285714 -9.27942857],"[[969.56537627 142.02987365]
 [142.02987365  30.6440861 ]]",0.4928057525680746
1904,[195.28   -8.747],Mole In The Ground,Dan Zanes,[127.55339286 -11.5545    ],"[[1061.65165017    9.8516548 ]
 [   9.8516548     2.57525296]]",Linus Loves Feat. Sam Obernik,[158.15975  -9.132  ],"[[2.70480818e+03 2.29789845e+01]
 [2.29789845e+01 2.11171150e+00]]",0.7155148723065017
1905,[137.022  -8.755],Evening Time,Dan Zanes Feat. The Sandy Girls,[110.3645  -8.791 ],"[[7.10622307e+02 9.59670000e-01]
 [9.59670000e-01 1.29700000e-03]]",The Gap Band,[136.16340426  -8.63525532],"[[1.61010818e+03 1.40680372e+00]
 [1.40680372e+00 5.52656868e+00]]",0.055547845904650575
1906,[180.521 -14.668],High On the Mountain,The Del McCoury Band,[145.80011957  -9.90092391],"[[1790.04116643    9.39560032]
 [   9.39560032    5.04862361]]",CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",0.4715833986555826
1907,[138.378 -15.571],Black Jack County Chains,The Del McCoury Band,[145.80011957  -9.90092391],"[[1790.04116643    9.39560032]
 [   9.39560032    5.04862361]]",Arlo Guthrie,[132.815375 -15.071   ],"[[766.16684523  11.84420781]
 [ 11.84420781  10.40000925]]",0.2720224955538507
1908,[243.335  -7.901],The Prisoner's Song,The Del McCoury Band,[145.80011957  -9.90092391],"[[1790.04116643    9.39560032]
 [   9.39560032    5.04862361]]",Linus Loves Feat. Sam Obernik,[158.15975  -9.132  ],"[[2.70480818e+03 2.29789845e+01]
 [2.29789845e+01 2.11171150e+00]]",1.6782501255141162
1909,[ 65.213 -14.873],Get Down on Your Knees and Pray,The Del McCoury Band,[145.80011957  -9.90092391],"[[1790.04116643    9.39560032]
 [   9.39560032    5.04862361]]",Heiner Goebbels_ Alfred 23 Harth,[ 64.15275 -18.565  ],"[[111.72850919  -1.68805375]
 [ -1.68805375  28.8282785 ]]",0.698158379779342
1910,[189.96 -10.45],Rambling Boy,Del McCoury Band,[153.16  -10.209],"[[ 7.71669522e+02 -4.57333833e+00]
 [-4.57333833e+00  2.92456667e-02]]",The Red Clay Ramblers with Fiddlin' Al McCanless,[154.88790909 -11.46518182],"[[2343.79571599   25.74398744]
 [  25.74398744    2.51296751]]",0.8383030246595191
1911,[ 0.    -9.723],Hummingbirds,A Hawk And A Hacksaw,[125.02026667 -11.84584444],"[[1978.61956795   19.36847114]
 [  19.36847114   10.96658806]]",The Week That Was,[110.882625 -10.545625],"[[ 2.36247081e+03 -2.11290291e+01]
 [-2.11290291e+01  2.34260923e+00]]",2.2841958951408308
1912,[203.555  -6.496],Fernando's Giampari,A Hawk And A Hacksaw,[125.02026667 -11.84584444],"[[1978.61956795   19.36847114]
 [  19.36847114   10.96658806]]",The Almighty Trigger Happy,[173.42174074  -6.25774074],"[[2.12898804e+03 1.70720450e+01]
 [1.70720450e+01 1.70654238e+00]]",0.7571127260301113
1913,[ 44.433 -32.522],Barbara Allen,Pete Seeger,[117.96557252 -19.47412977],"[[1693.43723216   30.49252585]
 [  30.49252585   24.5765413 ]]",Carlos Nakai,[ 90.0815     -34.01533333],"[[1052.45553058    3.4636065 ]
 [   3.4636065     6.06344122]]",1.5576493980985018
1914,[195.64  -28.796],Spanish And South American,Pete Seeger,[117.96557252 -19.47412977],"[[1693.43723216   30.49252585]
 [  30.49252585   24.5765413 ]]",Christopher Rouse,[123.82       -24.29433333],"[[3382.42080967 -208.98745067]
 [-208.98745067   13.14347056]]",1.2420993290365427
1915,[226.743 -21.961],A roll is a special banjo effect,Pete Seeger,[117.96557252 -19.47412977],"[[1693.43723216   30.49252585]
 [  30.49252585   24.5765413 ]]",The Academy of St. Martin in the Fields / Thurston Dart / Sir Neville Marriner,[145.18216667 -16.9485    ],"[[1582.22761514  -36.78597508]
 [ -36.78597508    7.04713692]]",2.402635047874375
1916,[240.486 -20.887],Birthday Polka,Pete Seeger,[117.96557252 -19.47412977],"[[1693.43723216   30.49252585]
 [  30.49252585   24.5765413 ]]",John Surman_ John Abercrombie_ Drew Gress_ Jack DeJohnette,[132.184 -21.784],"[[2.75652397e+03 4.00810950e+01]
 [4.00810950e+01 1.42738567e+00]]",2.1906614831957634
1917,[113.529 -34.442],Schtille Di Nacht  (Quiet Is The Night),Pete Seeger,[117.96557252 -19.47412977],"[[1693.43723216   30.49252585]
 [  30.49252585   24.5765413 ]]",Carlos Nakai,[ 90.0815     -34.01533333],"[[1052.45553058    3.4636065 ]
 [   3.4636065     6.06344122]]",0.7512172135787556
1918,[162.702 -11.976],This Little Light of Mine,Pete Seeger with Memphis Slim and Willie Dixon,[141.499 -12.122],"[[4.4956721e+02 3.0956380e+00]
 [3.0956380e+00 2.1317000e-02]]",Big Bopper,[157.16815 -11.7891 ],"[[883.54116043  10.65680811]
 [ 10.65680811  10.00566719]]",0.20291287785662115
1919,[  0.    -11.456],Everybody Zydeco,Jude Taylor & His Burning Flames,[101.75536364 -12.31281818],"[[1115.68952341   -3.14353079]
 [  -3.14353079    3.6940346 ]]",Cherryholmes,[112.841      -12.02733333],"[[3.51865407e+03 3.99434313e+01]
 [3.99434313e+01 3.01810856e+00]]",2.2263260722342966
1920,[201.157  -6.469],Sweet Rose,Matt Costa,[120.96664516  -9.01403226],"[[9.47415725e+02 6.42225892e-01]
 [6.42225892e-01 4.05943755e+00]]",The Almighty Trigger Happy,[173.42174074  -6.25774074],"[[2.12898804e+03 1.70720450e+01]
 [1.70720450e+01 1.70654238e+00]]",0.6936374781370528
1921,[163.973 -14.949],Josephine,Matt Costa,[120.96664516  -9.01403226],"[[9.47415725e+02 6.42225892e-01]
 [6.42225892e-01 4.05943755e+00]]",James Carter [Featuring Jef Lee Johnson_ Marc Ribot_ Jamaaladeen Tacuma And G. Calvin Weston],[145.9605 -14.6205],"[[2.80288556e+03 8.60699175e+00]
 [8.60699175e+00 2.35960825e+00]]",0.4229580968789176
1922,[102.403 -14.768],Time,Alice Peacock,[110.38810345  -9.01782759],"[[1068.98837027   23.64211491]
 [  23.64211491    5.50028176]]",Matt Monro,[102.10915686 -14.46419608],"[[1112.97763501  -11.68502903]
 [ -11.68502903    7.88605237]]",0.10828714590955492
1923,[ 70.814 -10.804],Whispering Pines,Jakob Dylan,[118.01477273 -12.20981818],"[[347.48851463  -8.6533416 ]
 [ -8.6533416    3.20012642]]",Harold Melvin & The Blue Notes featuring Teddy Pendergrass,[ 76.603      -11.06866667],"[[515.71774167 -19.81239467]
 [-19.81239467   0.96442056]]",0.27160935745834563
1924,[220.873  -6.981],Barnes Away,Danny Barnes,[136.01761538 -10.22869231],"[[ 1.74708650e+03 -1.48353927e+00]
 [-1.48353927e+00  4.15742860e+00]]",Hi-Standard,[168.68241463  -7.26682927],"[[1511.70350295    5.27333032]
 [   5.27333032    2.8702628 ]]",1.3437343887626776
1925,[132.481 -24.8  ],Jeopardy,Brave Combo,[126.2076875  -14.18696875],"[[1257.19042946    3.81195188]
 [   3.81195188    9.62004109]]",Christopher Rouse,[123.82       -24.29433333],"[[3382.42080967 -208.98745067]
 [-208.98745067   13.14347056]]",0.16105067270317136
1926,[226.607 -17.105],Skokiaan,Brave Combo,[126.2076875  -14.18696875],"[[1257.19042946    3.81195188]
 [   3.81195188    9.62004109]]",Dr. Lonnie Smith_ Peter Bernstein_ Billy Drummond,[149.703125 -16.057625],"[[1921.46652186  -30.22756917]
 [ -30.22756917    4.25842198]]",1.7563996769000165
1927,[155.04   -7.117],Darling,Zee Avi,[117.01830769 -12.42923077],"[[810.92664767  36.62951253]
 [ 36.62951253   6.39552364]]",Pointed Sticks,[158.50957778  -7.33826667],"[[1507.89995991   -5.31196191]
 [  -5.31196191    3.895666  ]]",0.1387619206737973
1928,[222.146  -9.48 ],Lo que más quiero,Inti Illimani,[125.91607407 -12.87107407],"[[1487.92473307  -10.20638648]
 [ -10.20638648    7.64255914]]",Diskjokke,[143.502    -8.91625],"[[ 3.88597590e+03 -3.19305720e+01]
 [-3.19305720e+01  1.18276969e+00]]",1.2645065801640438
1929,[227.234  -6.886],Polo Doliente,Inti-Illimani,[130.296625 -13.118375],"[[2019.88304773   51.49907048]
 [  51.49907048   12.34314023]]",The Almighty Trigger Happy,[173.42174074  -6.25774074],"[[2.12898804e+03 1.70720450e+01]
 [1.70720450e+01 1.70654238e+00]]",1.440722259685702
1930,[ 0.    -8.879],John Dory,The Albion Band,[110.97891489 -11.65008511],"[[1006.12821644    1.37212697]
 [   1.37212697   12.87714933]]",Fashawn,[112.76475  -9.27975],"[[2461.14172349  -19.55022789]
 [ -19.55022789    3.15694529]]",2.290915527535953
1931,[111.62  -29.807],It Is That Window of Time,The Albion Band,[110.97891489 -11.65008511],"[[1006.12821644    1.37212697]
 [   1.37212697   12.87714933]]",David Zinman;Pittsburgh Symphony Orchestra,[124.640125 -25.658375],"[[760.25067811  11.9322618 ]
 [ 11.9322618   14.70024798]]",1.1379547696812604
1932,[ 34.871 -30.453],10/18/82 Song (World),R. Carlos Nakai,[119.60421739 -26.12520652],"[[1267.01917104   11.34215188]
 [  11.34215188   43.6739081 ]]",Branford Marsalis;Orpheus Chamber Orchestra,[ 72.8252 -25.9782],"[[585.16976276  43.15851104]
 [ 43.15851104  12.56338676]]",1.6616267740433694
1933,[203.737 -21.307],Restless Spirits (World),R. Carlos Nakai,[119.60421739 -26.12520652],"[[1267.01917104   11.34215188]
 [  11.34215188   43.6739081 ]]",John Surman_ John Abercrombie_ Drew Gress_ Jack DeJohnette,[132.184 -21.784],"[[2.75652397e+03 4.00810950e+01]
 [4.00810950e+01 1.42738567e+00]]",1.494387878258292
1934,[185.256 -13.015],Flute Forest (World),R. Carlos Nakai,[119.60421739 -26.12520652],"[[1267.01917104   11.34215188]
 [  11.34215188   43.6739081 ]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",0.7574402794029108
1935,[218.91  -17.197],4th Movement: Heart,R. Carlos Nakai,[119.60421739 -26.12520652],"[[1267.01917104   11.34215188]
 [  11.34215188   43.6739081 ]]",Dr. Lonnie Smith_ Peter Bernstein_ Billy Drummond,[149.703125 -16.057625],"[[1921.46652186  -30.22756917]
 [ -30.22756917    4.25842198]]",1.5790354836488343
1936,[110.52  -28.817],Desert Dance,Carlos Nakai,[ 90.0815     -34.01533333],"[[1052.45553058    3.4636065 ]
 [   3.4636065     6.06344122]]",Hank Jones_ Red Mitchell,[ 93.6275  -28.17475],"[[1172.98234825   15.38377088]
 [  15.38377088    1.91902669]]",0.8232677623695833
1937,[167.657 -18.939],Satan's Choir,The Seldom Scene,[122.6487  -12.42984],"[[924.00664809  26.08465363]
 [ 26.08465363   7.26443237]]",Chick Corea / Béla Fleck,[132.43741667 -20.06775   ],"[[2158.20177708   52.77022381]
 [  52.77022381    2.94195702]]",0.7861940082991952
1938,[198.73   -9.154],When The Walls Come Tumblin' Down,The Seldom Scene,[122.6487  -12.42984],"[[924.00664809  26.08465363]
 [ 26.08465363   7.26443237]]",Linus Loves Feat. Sam Obernik,[158.15975  -9.132  ],"[[2.70480818e+03 2.29789845e+01]
 [2.29789845e+01 2.11171150e+00]]",0.823819065964491
1939,[178.556  -9.97 ],Madam I'm A Darlin',Damien Dempsey,[121.51948837  -8.12867442],"[[699.88189241  34.77255491]
 [ 34.77255491   7.93083648]]",Sick Things,[153.75633333 -10.09466667],"[[1.85825526e+03 4.16116256e+00]
 [4.16116256e+00 8.63429222e-01]]",0.5801413503502847
1940,[ 35.387 -14.127],The Twang Man,Damien Dempsey,[121.51948837  -8.12867442],"[[699.88189241  34.77255491]
 [ 34.77255491   7.93083648]]",Cherryholmes,[112.841      -12.02733333],"[[3.51865407e+03 3.99434313e+01]
 [3.99434313e+01 3.01810856e+00]]",1.5118500205985952
1941,[ 92.6   -23.514],Summons,Scott Miller & The Commonwealth,[140.03865625  -8.76721875],"[[1495.78694266    9.58974133]
 [   9.58974133   18.2411018 ]]",Suzie LeBlanc with Les Voix humaines,[ 94.9524 -23.2936],"[[604.32877764  36.11617744]
 [ 36.11617744   2.90952764]]",0.1328078808671824
1942,[185.371 -20.397],Intro,Scott Miller & The Commonwealth,[140.03865625  -8.76721875],"[[1495.78694266    9.58974133]
 [   9.58974133   18.2411018 ]]",Charlie Haden / Don Cherry / Ed Blackwell,[138.13966667 -20.89333333],"[[2.09207376e+03 2.50413099e+01]
 [2.50413099e+01 1.32640922e+00]]",1.0348662428737692
1943,[ 33.087 -17.191],Westron Wynde,Maddy Prior & Tim Hart,[101.62930769 -16.16738462],"[[1353.17752614   39.45790004]
 [  39.45790004    3.26980016]]",Enrico Rava/Ran Blake,[ 92.33075 -19.005  ],"[[ 3.01989025e+03 -8.38512843e+01]
 [-8.38512843e+01  2.66150600e+00]]",1.117118802621494
1944,[ 88.472 -15.859],Compass,Dala,[106.622375  -9.95975 ],"[[597.55325261  26.98045809]
 [ 26.98045809   5.35449394]]",The Soul Stirrers,[ 88.34833333 -16.96733333],"[[19.61891456  2.72389611]
 [ 2.72389611 11.54917322]]",0.32766225745060806
1945,[172.503 -15.025],Sun Explodes (Album Version),Hank Dogs,[141.37586667 -11.03206667],"[[1287.01853285    7.53093579]
 [   7.53093579    4.5193612 ]]",CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",0.30415133747286166
1946,[130.1    -7.587],Does My Ring Burn Your Finger,Buddy Miller,[107.56    -8.6175],"[[508.051601    23.22747   ]
 [ 23.22747      1.06193125]]",Bugz In The Attic,[130.60519048  -7.58171429],"[[1229.2746783     6.61223676]
 [   6.61223676    2.47747235]]",0.014502328026621504
1947,[216.463 -12.756],Special 20,Tim Easton,[150.2801 -12.0738],"[[899.07374829  13.81682458]
 [ 13.81682458   6.99566016]]",Haywire,[165.25016667 -10.55083333],"[[1628.56348347  -72.47145353]
 [ -72.47145353    6.55184481]]",1.269688490697772
1948,[205.54  -14.219],Run Mourner_ Run,Sweet Honey In The Rock,[109.58766667 -15.08409524],"[[1659.77240617   54.36740949]
 [  54.36740949    7.45919794]]",CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",0.9771456451515422
1949,[237.566 -19.112],The Waking Hour Introduction (Live),David Francey,[127.76894 -13.17892],"[[1679.22284738   -2.5753555 ]
 [  -2.5753555    13.31452591]]",Dr. Lonnie Smith_ Peter Bernstein_ Billy Drummond,[149.703125 -16.057625],"[[1921.46652186  -30.22756917]
 [ -30.22756917    4.25842198]]",2.1810207663144885
1950,[208.071 -20.008],Fourth of July Introduction (Live),David Francey,[127.76894 -13.17892],"[[1679.22284738   -2.5753555 ]
 [  -2.5753555    13.31452591]]",Charlie Haden / Don Cherry / Ed Blackwell,[138.13966667 -20.89333333],"[[2.09207376e+03 2.50413099e+01]
 [2.50413099e+01 1.32640922e+00]]",1.529657280528463
1951,[ 45.483 -15.973],Cape Clear,Sharon Shannon,[174.86428571 -10.02342857],"[[3528.70431992   49.37996055]
 [  49.37996055    4.4593651 ]]",Rolo Tomassi,[94.17285714 -9.27942857],"[[969.56537627 142.02987365]
 [142.02987365  30.6440861 ]]",1.569936227808355
1952,[174.932  -6.693],Mama Lou (feat. The Cartoon Thieves),Sharon Shannon_ The Cartoon Thieves,[149.4365  -7.481 ],"[[6.50020521e+02 2.00904540e+01]
 [2.00904540e+01 6.20945000e-01]]",The Almighty Trigger Happy,[173.42174074  -6.25774074],"[[2.12898804e+03 1.70720450e+01]
 [1.70720450e+01 1.70654238e+00]]",0.358577456454977
1953,[133.086 -26.879],Vignette (fakenham fair),Bellowhead,[129.33519231 -10.94473077],"[[1349.09433116   42.1383691 ]
 [  42.1383691    24.04418674]]",David Zinman;Pittsburgh Symphony Orchestra,[124.640125 -25.658375],"[[760.25067811  11.9322618 ]
 [ 11.9322618   14.70024798]]",0.46903994655777115
1954,[112.936 -18.304],Hole In The River,Darden Smith,[126.97514286 -11.84191667],"[[1027.175798    -12.02615504]
 [ -12.02615504    7.89709946]]",Stefan Grossman,[114.1922619  -18.75428571],"[[7.49765887e+02 6.33359837e-01]
 [6.33359837e-01 1.41430065e+01]]",0.1284886472932173
1955,[157.248 -23.98 ],Dream Intro,Darden Smith,[126.97514286 -11.84191667],"[[1027.175798    -12.02615504]
 [ -12.02615504    7.89709946]]",Alva Noto + Ryuichi Sakamoto,[152.7665 -23.2155],"[[930.78935025  24.61749975]
 [ 24.61749975   2.02419575]]",0.7677483013625435
1956,[122.476 -18.541],Only One Dream,Darden Smith,[126.97514286 -11.84191667],"[[1027.175798    -12.02615504]
 [ -12.02615504    7.89709946]]",Townes Van Zandt,[120.95237705 -17.94240984],"[[856.23925396  12.12504214]
 [ 12.12504214  11.44685905]]",0.19189081229685587
1957,[165.721 -17.592],Won't Be Long,Ferraby Lionheart,[111.71470588 -10.59123529],"[[835.9013705  -52.18056378]
 [-52.18056378   8.40411271]]",Gary Burton / Chick Corea / Roy Haynes / Dave Holland / Pat Metheny,[166.404 -17.27 ],"[[507.7363198   4.8418954]
 [  4.8418954   2.4220798]]",0.20690804554934322
1958,[ 92.681 -14.267],Forever Ends Today,Jim Lauderdale,[121.29146667  -7.91765333],"[[847.2245301   -2.73781664]
 [ -2.73781664   4.22699723]]",Mahalia Jackson,[ 97.16649057 -14.32756604],"[[1043.06617008   30.34850547]
 [  30.34850547   10.7459063 ]]",0.15162645958138163
1959,[187.912 -11.575],Who's Leaving Who,Jim Lauderdale,[121.29146667  -7.91765333],"[[847.2245301   -2.73781664]
 [ -2.73781664   4.22699723]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",0.515555424148989
1960,[227.921  -9.392],I'd Follow You Anywhere,Jim Lauderdale,[121.29146667  -7.91765333],"[[847.2245301   -2.73781664]
 [ -2.73781664   4.22699723]]",Diskjokke,[143.502    -8.91625],"[[ 3.88597590e+03 -3.19305720e+01]
 [-3.19305720e+01  1.18276969e+00]]",1.3731391752810658
1961,[66.366 -7.681],Who Would Jesus Bomb,David Rovics,[93.6185  -8.92025],"[[301.82781825 -11.09976187]
 [-11.09976187   0.51620669]]",Prefuse-73,[93.5712 -7.6654],"[[7.45975044e+02 1.32213728e+00]
 [1.32213728e+00 2.93131240e-01]]",0.9979046659007815
1962,[211.164 -20.237],Loss,Al Petteway / Amy White,[128.81269231 -15.71576923],"[[1108.64553252   -6.97230604]
 [  -6.97230604    3.19176987]]",John Surman_ John Abercrombie_ Drew Gress_ Jack DeJohnette,[132.184 -21.784],"[[2.75652397e+03 4.00810950e+01]
 [4.00810950e+01 1.42738567e+00]]",1.565583063272705
1963,[191.883 -15.686],Riding the River,Al Petteway and Amy White,[122.24325 -16.90525],"[[1276.18389802   48.20707806]
 [  48.20707806   11.90624785]]",CHARLIE HUNTER WITH LEON PARKER,[176.51466667 -15.31266667],"[[1164.26921589   19.47540711]
 [  19.47540711    1.92535589]]",0.6717970148436141
1964,[127.752 -20.614],A New Year's Carol / Sussex Carol / Tomorrow Will Be My Dancing Day,Al Petteway & Amy White,[125.7675     -14.60008333],"[[988.58948508  12.44535012]
 [ 12.44535012   6.62527324]]",Dave Holland_ Chris Potter_ Robin Eubanks_ Steve Nelson_ Billy Kilson,[120.37747826 -20.7683913 ],"[[1123.56168577   41.76629193]
 [  41.76629193    7.89726785]]",0.2250838237885102
1965,[ 70.904 -26.884],Whathername (LP Version),Peter_ Paul and Mary,[116.43042593 -15.89287037],"[[701.46997913  19.10956546]
 [ 19.10956546  16.01824348]]",Branford Marsalis;Orpheus Chamber Orchestra,[ 72.8252 -25.9782],"[[585.16976276  43.15851104]
 [ 43.15851104  12.56338676]]",0.26182132337720665
1966,[137.417 -26.157],Autumn To May (LP Version),Peter_ Paul and Mary,[116.43042593 -15.89287037],"[[701.46997913  19.10956546]
 [ 19.10956546  16.01824348]]",Ralph Towner_ Gary Peacock,[135.554  -25.4392],"[[2506.352751    -52.0135148 ]
 [ -52.0135148     3.42675236]]",0.4448315059262686
1967,[ 85.858 -12.978],Whispered Words,Peter_ Paul & Mary,[117.5614  -8.36  ],"[[600.07563564  39.4958306 ]
 [ 39.4958306    5.4216822 ]]",Peter Brötzmann_ Fred Van Hove_ Han Bennink,[ 97.3204 -13.3398],"[[992.26337464 -16.61955718]
 [-16.61955718  10.42996196]]",0.3677657770382864
1968,[130.037 -10.693],River Of Jordan,Peter Yarrow,[124.28333333 -12.87566667],"[[16.55417856  6.40240322]
 [ 6.40240322 10.64697856]]",Ike Turner,[129.9695     -10.91654545],"[[1039.7844297    24.51981636]
 [  24.51981636    9.45077461]]",0.07454341379402785
1969,[ 78.51  -20.952],Tender Hands,Noel Paul Stookey,[117.4248 -12.637 ],"[[1104.52770636   96.0941134 ]
 [  96.0941134    18.367869  ]]",Yo-Yo Ma;Isaac Stern;Michael Tree;Cho-Liang Lin;Jaime Laredo;Sharon Robinson,[ 76.1885 -21.089 ],"[[439.56092575   3.8875435 ]
 [  3.8875435    0.9134445 ]]",0.16640866873453974
1970,[216.491 -19.283],At the End of the Night,Karen Matheson,[133.70289286 -14.94382143],"[[1875.9506841    22.54256916]
 [  22.54256916   10.70020422]]",The Academy of St. Martin in the Fields / Thurston Dart / Sir Neville Marriner,[145.18216667 -16.9485    ],"[[1582.22761514  -36.78597508]
 [ -36.78597508    7.04713692]]",1.8132088818097662
1971,[177.748 -27.842],Meeting Under The Trees,Mark Knopfler,[116.54961856 -14.15721649],"[[958.18277489   4.29035107]
 [  4.29035107  28.59393738]]",Christopher Rouse,[123.82       -24.29433333],"[[3382.42080967 -208.98745067]
 [-208.98745067   13.14347056]]",1.0301553748760772
1972,[117.349 -30.181],A Secret Place / Where Will You Go,Mark Knopfler,[116.54961856 -14.15721649],"[[958.18277489   4.29035107]
 [  4.29035107  28.59393738]]",Murray Perahia;Members of the English Chamber Orchestra,[130.19725 -29.9875 ],"[[228.08139169  15.82749012]
 [ 15.82749012   4.89504225]]",0.9231047812333957
1973,[ 62.297 -26.662],The Rocks & The Thunder,Mark Knopfler,[116.54961856 -14.15721649],"[[958.18277489   4.29035107]
 [  4.29035107  28.59393738]]",Branford Marsalis;Orpheus Chamber Orchestra,[ 72.8252 -25.9782],"[[585.16976276  43.15851104]
 [ 43.15851104  12.56338676]]",0.43627541902735645
1974,[169.828 -34.971],The Rocks & The Water,Mark Knopfler,[116.54961856 -14.15721649],"[[958.18277489   4.29035107]
 [  4.29035107  28.59393738]]",Carlos Nakai,[ 90.0815     -34.01533333],"[[1052.45553058    3.4636065 ]
 [   3.4636065     6.06344122]]",2.507531046739694
1975,[197.808 -12.08 ],Brand New Song,Will Kimbrough,[117.89195556  -8.92057778],"[[1020.89344451   19.05845831]
 [  19.05845831    9.29468609]]",Shawn Camp,[163.28609091 -12.41836364],"[[2442.43976926   59.43837249]
 [  59.43837249    4.84937196]]",0.7496139327891651
1976,[110.021 -20.858],Goodnight Moon,Will Kimbrough,[117.89195556  -8.92057778],"[[1020.89344451   19.05845831]
 [  19.05845831    9.29468609]]",Academy of Ancient Music & Richard Egarr,[104.08116667 -20.7965    ],"[[1734.19057447   61.19292025]
 [  61.19292025    5.26366058]]",0.20980514701088318
1977,[159.83  -22.339],My Lady's A Wild_ Flying Dove  (LP Version),Tom Paxton,[122.74732353 -13.59397059],"[[1327.88654651   24.68333614]
 [  24.68333614   13.23893191]]",Alva Noto + Ryuichi Sakamoto,[152.7665 -23.2155],"[[930.78935025  24.61749975]
 [ 24.61749975   2.02419575]]",0.6324686494234872
1978,[195.322  -8.414],Standing On The Edge Of Town (LP Version),Tom Paxton,[122.74732353 -13.59397059],"[[1327.88654651   24.68333614]
 [  24.68333614   13.23893191]]",Linus Loves Feat. Sam Obernik,[158.15975  -9.132  ],"[[2.70480818e+03 2.29789845e+01]
 [2.29789845e+01 2.11171150e+00]]",0.7713796058439497
1979,[248.521 -12.764],The Fairmoye Lasses And Sporting Paddy (1993 Digital Remaster),The Dubliners,[123.99557576 -13.28342424],"[[1767.82366894   12.15786106]
 [  12.15786106   14.38504088]]",Andy Irvine,[155.73733333 -14.09733333],"[[2.76997235e+03 3.44346258e+01]
 [3.44346258e+01 9.68590556e-01]]",1.7798263247926887
1980,[ 46.04  -22.557],Introduction,The Dubliners,[123.99557576 -13.28342424],"[[1767.82366894   12.15786106]
 [  12.15786106   14.38504088]]",John Abercrombie and John Ruocco,[ 94.36611111 -22.86722222],"[[2.06433599e+03 4.82274136e+00]
 [4.82274136e+00 1.39767695e+00]]",1.122696953714799
1981,[238.365 -14.417],Swallow's Tail,The Dubliners / Luke Kelly,[190.779  -16.0465],"[[2264.427397     77.541387  ]
 [  77.541387      2.65527125]]",James Carter [Featuring Jef Lee Johnson_ Marc Ribot_ Jamaaladeen Tacuma And G. Calvin Weston],[145.9605 -14.6205],"[[2.80288556e+03 8.60699175e+00]
 [8.60699175e+00 2.35960825e+00]]",1.7461723613207913
1982,[ 85.256 -16.077],Walk Along The Highway (Album Version),Catie Curtis,[127.69502439 -11.202     ],"[[1015.84991868    1.65327376]
 [   1.65327376    8.28295188]]",The Watersons,[ 92.98890625 -17.196625  ],"[[614.96718008 -18.75410606]
 [-18.75410606  11.99845823]]",0.40693530227281355
1983,[223.104  -6.977],You Can Always Be Gone (Album Version),Catie Curtis,[127.69502439 -11.202     ],"[[1015.84991868    1.65327376]
 [   1.65327376    8.28295188]]",The Almighty Trigger Happy,[173.42174074  -6.25774074],"[[2.12898804e+03 1.70720450e+01]
 [1.70720450e+01 1.70654238e+00]]",1.3982873255675377
